sales_date,metric_name,amount
2024-03-30,Tips,36.64
2024-03-30,Amount collected,3420.21
2024-03-30,Unpaid balance,0.00
2024-03-31,Gross sales,2601.63
2024-03-31,Refunds,0.00
2024-03-31,Net sales,2601.63
2024-03-31,Overpayments,0.00
2024-03-31,Taxes expected,237.15
2024-03-31,Taxes collected,237.15
2024-03-31,Tips,37.34
2024-03-31,Amount collected,2876.12
2024-03-31,Unpaid balance,0.00
2024-04-01,Gross sales,2020.42
2024-04-01,Refunds,0.00
2024-04-01,Net sales,2020.42
2024-04-01,Overpayments,0.00
2024-04-01,Taxes expected,187.18
2024-04-01,Taxes collected,187.18
2024-04-01,Tips,41.15
2024-04-01,Amount collected,2248.75
2024-04-01,Unpaid balance,0.00
2024-04-02,Gross sales,2045.14
2024-04-02,Refunds,0.00
2024-04-02,Net sales,2045.14
2024-04-02,Overpayments,0.00
2024-04-02,Taxes expected,189.53
2024-04-02,Taxes collected,189.53
2024-04-02,Tips,37.01
2024-04-02,Amount collected,2271.68
2024-04-02,Unpaid balance,0.00
2024-04-03,Gross sales,2012.93
2024-04-03,Refunds,0.00
2024-04-03,Net sales,2012.93
2024-04-03,Overpayments,0.00
2024-04-03,Taxes expected,184.75
2024-04-03,Taxes collected,184.75
2024-04-03,Tips,30.22
2024-04-03,Amount collected,2227.90
2024-04-03,Unpaid balance,0.00
2024-04-04,Gross sales,2552.14
2024-04-04,Refunds,0.00
2024-04-04,Net sales,2552.14
2024-04-04,Overpayments,0.00
2024-04-04,Taxes expected,236.56
2024-04-04,Taxes collected,236.56
2024-04-04,Tips,53.09
2024-04-04,Amount collected,2841.79
2024-04-04,Unpaid balance,0.00
2024-04-05,Gross sales,2813.07
2024-04-05,Refunds,0.00
2024-04-05,Net sales,2813.07
2024-04-05,Overpayments,0.00
2024-04-05,Taxes expected,257.23
2024-04-05,Taxes collected,257.23
2024-04-05,Tips,43.71
2024-04-05,Amount collected,3114.01
2024-04-05,Unpaid balance,0.00
2024-04-06,Gross sales,2911.81
2024-04-06,Refunds,0.00
2024-04-06,Net sales,2911.81
2024-04-06,Overpayments,0.00
2024-04-06,Taxes expected,264.39
2024-04-06,Taxes collected,264.39
2024-04-06,Tips,34.49
2024-04-06,Amount collected,3210.69
2024-04-06,Unpaid balance,0.00
2024-04-07,Gross sales,2558.43
2024-04-07,Refunds,0.00
2024-04-07,Net sales,2558.43
2024-04-07,Overpayments,0.00
2024-04-07,Taxes expected,234.41
2024-04-07,Taxes collected,234.41
2024-04-07,Tips,37.94
2024-04-07,Amount collected,2830.78
2024-04-07,Unpaid balance,0.00
2024-04-08,Gross sales,2012.06
2024-04-08,Refunds,0.00
2024-04-08,Net sales,2012.06
2024-04-08,Overpayments,0.00
2024-04-08,Taxes expected,182.21
2024-04-08,Taxes collected,182.21
2024-04-08,Tips,37.94
2024-04-08,Amount collected,2232.21
2024-04-08,Unpaid balance,0.00
2024-04-09,Gross sales,2097.05
2024-04-09,Refunds,0.00
2024-04-09,Net sales,2097.05
2024-04-09,Overpayments,0.00
2024-04-09,Taxes expected,189.80
2024-04-09,Taxes collected,189.80
2024-04-09,Tips,40.26
2024-04-09,Amount collected,2327.11
2024-04-09,Unpaid balance,0.00
2024-04-10,Gross sales,2161.56
2024-04-10,Refunds,0.00
2024-04-10,Net sales,2161.56
2024-04-10,Overpayments,0.00
2024-04-10,Taxes expected,198.42
2024-04-10,Taxes collected,198.42
2024-04-10,Tips,52.20
2024-04-10,Amount collected,2412.18
2024-04-10,Unpaid balance,0.00
2024-04-11,Gross sales,2119.31
2024-04-11,Refunds,0.00
2024-04-11,Net sales,2119.31
2024-04-11,Overpayments,0.00
2024-04-11,Taxes expected,194.49
2024-04-11,Taxes collected,194.49
2024-04-11,Tips,43.04
2024-04-11,Amount collected,2356.84
2024-04-11,Unpaid balance,0.00
2024-04-12,Gross sales,3195.69
2024-04-12,Refunds,0.00
2024-04-12,Net sales,3195.69
2024-04-12,Overpayments,0.00
2024-04-12,Taxes expected,296.40
2024-04-12,Taxes collected,296.40
2024-04-12,Tips,44.87
2024-04-12,Amount collected,3536.96
2024-04-12,Unpaid balance,0.00
2024-04-13,Gross sales,3033.73
2024-04-13,Refunds,0.00
2024-04-13,Net sales,3033.73
2024-04-13,Overpayments,0.00
2024-04-13,Taxes expected,278.06
2024-04-13,Taxes collected,278.06
2024-04-13,Tips,29.50
2024-04-13,Amount collected,3341.29
2024-04-13,Unpaid balance,0.00
2024-04-14,Gross sales,2577.04
2024-04-14,Refunds,0.00
2024-04-14,Net sales,2577.04
2024-04-14,Overpayments,0.00
2024-04-14,Taxes expected,237.71
2024-04-14,Taxes collected,237.71
2024-04-14,Tips,62.66
2024-04-14,Amount collected,2877.41
2024-04-14,Unpaid balance,0.00
2024-04-15,Gross sales,1666.07
2024-04-15,Refunds,0.00
2024-04-15,Net sales,1666.07
2024-04-15,Overpayments,0.00
2024-04-15,Taxes expected,152.93
2024-04-15,Taxes collected,152.93
2024-04-15,Tips,18.29
2024-04-15,Amount collected,1837.29
2024-04-15,Unpaid balance,0.00
2024-04-16,Gross sales,1724.88
2024-04-16,Refunds,0.00
2024-04-16,Net sales,1724.88
2024-04-16,Overpayments,0.00
2024-04-16,Taxes expected,155.94
2024-04-16,Taxes collected,155.94
2024-04-16,Tips,20.75
2024-04-16,Amount collected,1901.57
2024-04-16,Unpaid balance,0.00
2024-04-17,Gross sales,2039.22
2024-04-17,Refunds,0.00
2024-04-17,Net sales,2039.22
2024-04-17,Overpayments,0.00
2024-04-17,Taxes expected,186.85
2024-04-17,Taxes collected,186.85
2024-04-17,Tips,32.77
2024-04-17,Amount collected,2258.84
2024-04-17,Unpaid balance,0.00
2024-04-18,Gross sales,2596.62
2024-04-18,Refunds,0.00
2024-04-18,Net sales,2596.62
2024-04-18,Overpayments,0.00
2024-04-18,Taxes expected,237.07
2024-04-18,Taxes collected,237.07
2024-04-18,Tips,52.75
2024-04-18,Amount collected,2886.44
2024-04-18,Unpaid balance,0.00
2024-04-19,Gross sales,2809.60
2024-04-19,Refunds,0.00
2024-04-19,Net sales,2809.60
2024-04-19,Overpayments,0.00
2024-04-19,Taxes expected,254.83
2024-04-19,Taxes collected,253.61
2024-04-19,Tips,45.45
2024-04-19,Amount collected,3108.66
2024-04-19,Unpaid balance,0.00
2024-04-20,Gross sales,3005.31
2024-04-20,Refunds,0.00
2024-04-20,Net sales,3005.31
2024-04-20,Overpayments,0.00
2024-04-20,Taxes expected,277.23
2024-04-20,Taxes collected,277.23
2024-04-20,Tips,66.97
2024-04-20,Amount collected,3349.51
2024-04-20,Unpaid balance,0.00
2024-04-21,Gross sales,2904.13
2024-04-21,Refunds,0.00
2024-04-21,Net sales,2904.13
2024-04-21,Overpayments,0.00
2024-04-21,Taxes expected,269.75
2024-04-21,Taxes collected,269.75
2024-04-21,Tips,34.29
2024-04-21,Amount collected,3208.17
2024-04-21,Unpaid balance,0.00
2024-04-22,Gross sales,1976.71
2024-04-22,Refunds,0.00
2024-04-22,Net sales,1976.71
2024-04-22,Overpayments,0.00
2024-04-22,Taxes expected,178.90
2024-04-22,Taxes collected,178.90
2024-04-22,Tips,19.86
2024-04-22,Amount collected,2175.47
2024-04-22,Unpaid balance,0.00
2024-04-23,Gross sales,2092.99
2024-04-23,Refunds,0.00
2024-04-23,Net sales,2092.99
2024-04-23,Overpayments,1.60
2024-04-23,Taxes expected,194.49
2024-04-23,Taxes collected,194.49
2024-04-23,Tips,52.86
2024-04-23,Amount collected,2341.94
2024-04-23,Unpaid balance,0.00
2024-04-24,Gross sales,2411.87
2024-04-24,Refunds,0.00
2024-04-24,Net sales,2411.87
2024-04-24,Overpayments,0.00
2024-04-24,Taxes expected,219.14
2024-04-24,Taxes collected,219.14
2024-04-24,Tips,55.71
2024-04-24,Amount collected,2686.72
2024-04-24,Unpaid balance,0.00
2024-04-25,Gross sales,2105.75
2024-04-25,Refunds,0.00
2024-04-25,Net sales,2105.75
2024-04-25,Overpayments,0.00
2024-04-25,Taxes expected,191.49
2024-04-25,Taxes collected,191.49
2024-04-25,Tips,48.00
2024-04-25,Amount collected,2345.24
2024-04-25,Unpaid balance,0.00
2024-04-26,Gross sales,2705.00
2024-04-26,Refunds,0.00
2024-04-26,Net sales,2705.00
2024-04-26,Overpayments,0.00
2024-04-26,Taxes expected,250.87
2024-04-26,Taxes collected,250.87
2024-04-26,Tips,58.67
2024-04-26,Amount collected,3014.54
2024-04-26,Unpaid balance,0.00
2024-04-27,Gross sales,3366.30
2024-04-27,Refunds,0.00
2024-04-27,Net sales,3366.30
2024-04-27,Overpayments,0.00
2024-04-27,Taxes expected,306.59
2024-04-27,Taxes collected,306.59
2024-04-27,Tips,35.52
2024-04-27,Amount collected,3708.41
2024-04-27,Unpaid balance,0.00
2024-04-28,Gross sales,2718.76
2024-04-28,Refunds,0.00
2024-04-28,Net sales,2718.76
2024-04-28,Overpayments,0.00
2024-04-28,Taxes expected,246.89
2024-04-28,Taxes collected,246.89
2024-04-28,Tips,49.40
2024-04-28,Amount collected,3015.05
2024-04-28,Unpaid balance,0.00
2024-04-29,Gross sales,1799.12
2024-04-29,Refunds,0.00
2024-04-29,Net sales,1799.12
2024-04-29,Overpayments,0.00
2024-04-29,Taxes expected,165.87
2024-04-29,Taxes collected,164.48
2024-04-29,Tips,32.73
2024-04-29,Amount collected,1996.33
2024-04-29,Unpaid balance,0.00
2024-04-30,Gross sales,1815.08
2024-04-30,Refunds,0.00
2024-04-30,Net sales,1815.08
2024-04-30,Overpayments,0.00
2024-04-30,Taxes expected,164.85
2024-04-30,Taxes collected,164.85
2024-04-30,Tips,24.57
2024-04-30,Amount collected,2004.50
2024-04-30,Unpaid balance,0.00
2024-05-01,Gross sales,2011.02
2024-05-01,Refunds,0.00
2024-05-01,Net sales,2011.02
2024-05-01,Overpayments,0.00
2024-05-01,Taxes expected,185.65
2024-05-01,Taxes collected,185.65
2024-05-01,Tips,38.18
2024-05-01,Amount collected,2234.85
2024-05-01,Unpaid balance,0.00
2024-05-02,Gross sales,2108.48
2024-05-02,Refunds,0.00
2024-05-02,Net sales,2108.48
2024-05-02,Overpayments,0.00
2024-05-02,Taxes expected,196.04
2024-05-02,Taxes collected,196.04
2024-05-02,Tips,44.81
2024-05-02,Amount collected,2349.33
2024-05-02,Unpaid balance,0.00
2024-05-03,Gross sales,2850.57
2024-05-03,Refunds,0.00
2024-05-03,Net sales,2850.57
2024-05-03,Overpayments,0.00
2024-05-03,Taxes expected,264.18
2024-05-03,Taxes collected,264.18
2024-05-03,Tips,73.21
2024-05-03,Amount collected,3187.96
2024-05-03,Unpaid balance,0.00
2024-05-04,Gross sales,3143.68
2024-05-04,Refunds,0.00
2024-05-04,Net sales,3143.68
2024-05-04,Overpayments,0.00
2024-05-04,Taxes expected,288.67
2024-05-04,Taxes collected,288.67
2024-05-04,Tips,67.85
2024-05-04,Amount collected,3500.20
2024-05-04,Unpaid balance,0.00
2024-05-05,Gross sales,3237.32
2024-05-05,Refunds,0.00
2024-05-05,Net sales,3237.32
2024-05-05,Overpayments,0.00
2024-05-05,Taxes expected,296.93
2024-05-05,Taxes collected,296.93
2024-05-05,Tips,85.17
2024-05-05,Amount collected,3619.42
2024-05-05,Unpaid balance,0.00
2024-05-06,Gross sales,1672.93
2024-05-06,Refunds,0.00
2024-05-06,Net sales,1672.93
2024-05-06,Overpayments,0.00
2024-05-06,Taxes expected,152.38
2024-05-06,Taxes collected,152.38
2024-05-06,Tips,29.52
2024-05-06,Amount collected,1854.83
2024-05-06,Unpaid balance,0.00
2024-05-07,Gross sales,1725.49
2024-05-07,Refunds,0.00
2024-05-07,Net sales,1725.49
2024-05-07,Overpayments,0.00
2024-05-07,Taxes expected,157.13
2024-05-07,Taxes collected,157.13
2024-05-07,Tips,26.96
2024-05-07,Amount collected,1909.58
2024-05-07,Unpaid balance,0.00
2024-05-08,Gross sales,2256.81
2024-05-08,Refunds,0.00
2024-05-08,Net sales,2256.81
2024-05-08,Overpayments,0.00
2024-05-08,Taxes expected,208.02
2024-05-08,Taxes collected,208.02
2024-05-08,Tips,30.19
2024-05-08,Amount collected,2495.02
2024-05-08,Unpaid balance,0.00
2024-05-09,Gross sales,2530.89
2024-05-09,Refunds,0.00
2024-05-09,Net sales,2530.89
2024-05-09,Overpayments,0.00
2024-05-09,Taxes expected,235.58
2024-05-09,Taxes collected,235.58
2024-05-09,Tips,24.56
2024-05-09,Amount collected,2791.03
2024-05-09,Unpaid balance,0.00
2024-05-10,Gross sales,3085.29
2024-05-10,Refunds,0.00
2024-05-10,Net sales,3085.29
2024-05-10,Overpayments,0.00
2024-05-10,Taxes expected,281.07
2024-05-10,Taxes collected,281.07
2024-05-10,Tips,51.08
2024-05-10,Amount collected,3417.44
2024-05-10,Unpaid balance,0.00
2024-05-11,Gross sales,2982.43
2024-05-11,Refunds,0.00
2024-05-11,Net sales,2982.43
2024-05-11,Overpayments,0.00
2024-05-11,Taxes expected,269.98
2024-05-11,Taxes collected,269.98
2024-05-11,Tips,77.18
2024-05-11,Amount collected,3329.59
2024-05-11,Unpaid balance,0.00
2024-05-12,Gross sales,2567.54
2024-05-12,Refunds,0.00
2024-05-12,Net sales,2567.54
2024-05-12,Overpayments,0.00
2024-05-12,Taxes expected,233.82
2024-05-12,Taxes collected,233.82
2024-05-12,Tips,61.29
2024-05-12,Amount collected,2862.65
2024-05-12,Unpaid balance,0.00
2024-05-13,Gross sales,1917.04
2024-05-13,Refunds,0.00
2024-05-13,Net sales,1917.04
2024-05-13,Overpayments,0.00
2024-05-13,Taxes expected,175.99
2024-05-13,Taxes collected,175.99
2024-05-13,Tips,40.24
2024-05-13,Amount collected,2133.27
2024-05-13,Unpaid balance,0.00
2024-05-14,Gross sales,1840.98
2024-05-14,Refunds,0.00
2024-05-14,Net sales,1840.98
2024-05-14,Overpayments,0.00
2024-05-14,Taxes expected,168.77
2024-05-14,Taxes collected,168.77
2024-05-14,Tips,37.24
2024-05-14,Amount collected,2046.99
2024-05-14,Unpaid balance,0.00
2024-05-15,Gross sales,2051.53
2024-05-15,Refunds,0.00
2024-05-15,Net sales,2051.53
2024-05-15,Overpayments,0.00
2024-05-15,Taxes expected,189.95
2024-05-15,Taxes collected,189.95
2024-05-15,Tips,38.53
2024-05-15,Amount collected,2280.01
2024-05-15,Unpaid balance,0.00
2024-05-16,Gross sales,2572.23
2024-05-16,Refunds,0.00
2024-05-16,Net sales,2572.23
2024-05-16,Overpayments,0.00
2024-05-16,Taxes expected,237.82
2024-05-16,Taxes collected,237.01
2024-05-16,Tips,66.21
2024-05-16,Amount collected,2875.45
2024-05-16,Unpaid balance,0.00
2024-05-17,Gross sales,2779.92
2024-05-17,Refunds,0.00
2024-05-17,Net sales,2779.92
2024-05-17,Overpayments,0.00
2024-05-17,Taxes expected,252.71
2024-05-17,Taxes collected,252.71
2024-05-17,Tips,56.87
2024-05-17,Amount collected,3081.59
2024-05-17,Unpaid balance,7.91
2024-05-18,Gross sales,2776.49
2024-05-18,Refunds,0.00
2024-05-18,Net sales,2776.49
2024-05-18,Overpayments,1.43
2024-05-18,Taxes expected,253.58
2024-05-18,Taxes collected,253.58
2024-05-18,Tips,30.74
2024-05-18,Amount collected,3062.24
2024-05-18,Unpaid balance,0.00
2024-05-19,Gross sales,2791.37
2024-05-19,Refunds,0.00
2024-05-19,Net sales,2791.37
2024-05-19,Overpayments,0.00
2024-05-19,Taxes expected,253.95
2024-05-19,Taxes collected,252.63
2024-05-19,Tips,49.95
2024-05-19,Amount collected,3093.95
2024-05-19,Unpaid balance,0.00
2024-05-20,Gross sales,2082.03
2024-05-20,Refunds,0.00
2024-05-20,Net sales,2082.03
2024-05-20,Overpayments,0.00
2024-05-20,Taxes expected,193.46
2024-05-20,Taxes collected,193.46
2024-05-20,Tips,42.23
2024-05-20,Amount collected,2317.72
2024-05-20,Unpaid balance,0.00
2024-05-21,Gross sales,2195.15
2024-05-21,Refunds,0.00
2024-05-21,Net sales,2195.15
2024-05-21,Overpayments,0.00
2024-05-21,Taxes expected,198.62
2024-05-21,Taxes collected,198.62
2024-05-21,Tips,56.46
2024-05-21,Amount collected,2450.23
2024-05-21,Unpaid balance,0.00
2024-05-22,Gross sales,2193.88
2024-05-22,Refunds,0.00
2024-05-22,Net sales,2193.88
2024-05-22,Overpayments,0.00
2024-05-22,Taxes expected,200.74
2024-05-22,Taxes collected,200.74
2024-05-22,Tips,38.46
2024-05-22,Amount collected,2433.08
2024-05-22,Unpaid balance,0.00
2024-05-23,Gross sales,2416.03
2024-05-23,Refunds,0.00
2024-05-23,Net sales,2416.03
2024-05-23,Overpayments,0.00
2024-05-23,Taxes expected,218.44
2024-05-23,Taxes collected,218.44
2024-05-23,Tips,37.70
2024-05-23,Amount collected,2672.17
2024-05-23,Unpaid balance,0.00
2024-05-24,Gross sales,3365.25
2024-05-24,Refunds,0.00
2024-05-24,Net sales,3365.25
2024-05-24,Overpayments,0.00
2024-05-24,Taxes expected,305.42
2024-05-24,Taxes collected,305.42
2024-05-24,Tips,48.97
2024-05-24,Amount collected,3719.64
2024-05-24,Unpaid balance,0.00
2024-05-25,Gross sales,2875.32
2024-05-25,Refunds,0.00
2024-05-25,Net sales,2875.32
2024-05-25,Overpayments,0.00
2024-05-25,Taxes expected,262.87
2024-05-25,Taxes collected,262.87
2024-05-25,Tips,74.90
2024-05-25,Amount collected,3213.09
2024-05-25,Unpaid balance,0.00
2024-05-26,Gross sales,2859.50
2024-05-26,Refunds,0.00
2024-05-26,Net sales,2859.50
2024-05-26,Overpayments,0.00
2024-05-26,Taxes expected,263.86
2024-05-26,Taxes collected,263.86
2024-05-26,Tips,65.34
2024-05-26,Amount collected,3188.70
2024-05-26,Unpaid balance,0.00
2024-05-27,Gross sales,1784.38
2024-05-27,Refunds,0.00
2024-05-27,Net sales,1784.38
2024-05-27,Overpayments,0.00
2024-05-27,Taxes expected,163.15
2024-05-27,Taxes collected,163.15
2024-05-27,Tips,17.27
2024-05-27,Amount collected,1964.80
2024-05-27,Unpaid balance,0.00
2024-05-28,Gross sales,1745.37
2024-05-28,Refunds,0.00
2024-05-28,Net sales,1745.37
2024-05-28,Overpayments,0.00
2024-05-28,Taxes expected,161.84
2024-05-28,Taxes collected,161.84
2024-05-28,Tips,31.93
2024-05-28,Amount collected,1939.14
2024-05-28,Unpaid balance,0.00
2024-05-29,Gross sales,2396.39
2024-05-29,Refunds,0.00
2024-05-29,Net sales,2396.39
2024-05-29,Overpayments,0.00
2024-05-29,Taxes expected,216.84
2024-05-29,Taxes collected,216.84
2024-05-29,Tips,59.87
2024-05-29,Amount collected,2673.10
2024-05-29,Unpaid balance,0.00
2024-05-30,Gross sales,2479.89
2024-05-30,Refunds,0.00
2024-05-30,Net sales,2479.89
2024-05-30,Overpayments,0.00
2024-05-30,Taxes expected,225.67
2024-05-30,Taxes collected,225.67
2024-05-30,Tips,48.56
2024-05-30,Amount collected,2754.12
2024-05-30,Unpaid balance,0.00
2024-05-31,Gross sales,2604.84
2024-05-31,Refunds,0.00
2024-05-31,Net sales,2604.84
2024-05-31,Overpayments,0.00
2024-05-31,Taxes expected,242.29
2024-05-31,Taxes collected,242.29
2024-05-31,Tips,46.00
2024-05-31,Amount collected,2893.13
2024-05-31,Unpaid balance,0.00
2024-06-01,Gross sales,3117.78
2024-06-01,Refunds,0.00
2024-06-01,Net sales,3117.78
2024-06-01,Overpayments,0.00
2024-06-01,Taxes expected,288.81
2024-06-01,Taxes collected,288.81
2024-06-01,Tips,41.20
2024-06-01,Amount collected,3441.88
2024-06-01,Unpaid balance,5.91
2024-06-02,Gross sales,3222.36
2024-06-02,Refunds,0.00
2024-06-02,Net sales,3222.36
2024-06-02,Overpayments,0.00
2024-06-02,Taxes expected,293.02
2024-06-02,Taxes collected,293.02
2024-06-02,Tips,80.21
2024-06-02,Amount collected,3595.59
2024-06-02,Unpaid balance,0.00
2024-06-03,Gross sales,2185.71
2024-06-03,Refunds,0.00
2024-06-03,Net sales,2185.71
2024-06-03,Overpayments,0.00
2024-06-03,Taxes expected,201.72
2024-06-03,Taxes collected,201.72
2024-06-03,Tips,49.58
2024-06-03,Amount collected,2437.01
2024-06-03,Unpaid balance,0.00
2024-06-04,Gross sales,1845.53
2024-06-04,Refunds,0.00
2024-06-04,Net sales,1845.53
2024-06-04,Overpayments,0.00
2024-06-04,Taxes expected,166.87
2024-06-04,Taxes collected,166.87
2024-06-04,Tips,35.42
2024-06-04,Amount collected,2047.82
2024-06-04,Unpaid balance,0.00
2024-06-05,Gross sales,2284.45
2024-06-05,Refunds,0.00
2024-06-05,Net sales,2284.45
2024-06-05,Overpayments,0.00
2024-06-05,Taxes expected,206.94
2024-06-05,Taxes collected,206.94
2024-06-05,Tips,53.03
2024-06-05,Amount collected,2544.42
2024-06-05,Unpaid balance,0.00
2024-06-06,Gross sales,2725.50
2024-06-06,Refunds,0.00
2024-06-06,Net sales,2725.50
2024-06-06,Overpayments,0.00
2024-06-06,Taxes expected,247.55
2024-06-06,Taxes collected,247.55
2024-06-06,Tips,57.81
2024-06-06,Amount collected,3030.86
2024-06-06,Unpaid balance,0.00
2024-06-07,Gross sales,2745.25
2024-06-07,Refunds,0.00
2024-06-07,Net sales,2745.25
2024-06-07,Overpayments,0.00
2024-06-07,Taxes expected,248.15
2024-06-07,Taxes collected,248.15
2024-06-07,Tips,40.38
2024-06-07,Amount collected,3033.78
2024-06-07,Unpaid balance,0.00
2024-06-08,Gross sales,3720.55
2024-06-08,Refunds,0.00
2024-06-08,Net sales,3720.55
2024-06-08,Overpayments,0.00
2024-06-08,Taxes expected,345.91
2024-06-08,Taxes collected,345.91
2024-06-08,Tips,94.16
2024-06-08,Amount collected,4160.62
2024-06-08,Unpaid balance,0.00
2024-06-09,Gross sales,2886.84
2024-06-09,Refunds,0.00
2024-06-09,Net sales,2886.84
2024-06-09,Overpayments,0.00
2024-06-09,Taxes expected,267.65
2024-06-09,Taxes collected,267.65
2024-06-09,Tips,59.45
2024-06-09,Amount collected,3213.94
2024-06-09,Unpaid balance,0.00
2024-06-10,Gross sales,1720.37
2024-06-10,Refunds,0.00
2024-06-10,Net sales,1720.37
2024-06-10,Overpayments,1.62
2024-06-10,Taxes expected,157.88
2024-06-10,Taxes collected,157.88
2024-06-10,Tips,20.78
2024-06-10,Amount collected,1900.65
2024-06-10,Unpaid balance,0.00
2024-06-11,Gross sales,2251.54
2024-06-11,Refunds,0.00
2024-06-11,Net sales,2251.54
2024-06-11,Overpayments,0.00
2024-06-11,Taxes expected,208.29
2024-06-11,Taxes collected,208.29
2024-06-11,Tips,54.54
2024-06-11,Amount collected,2514.37
2024-06-11,Unpaid balance,0.00
2024-06-12,Gross sales,2137.14
2024-06-12,Refunds,0.00
2024-06-12,Net sales,2137.14
2024-06-12,Overpayments,0.00
2024-06-12,Taxes expected,196.44
2024-06-12,Taxes collected,196.44
2024-06-12,Tips,24.09
2024-06-12,Amount collected,2357.67
2024-06-12,Unpaid balance,0.00
2024-06-13,Gross sales,2414.35
2024-06-13,Refunds,0.00
2024-06-13,Net sales,2414.35
2024-06-13,Overpayments,0.00
2024-06-13,Taxes expected,222.67
2024-06-13,Taxes collected,222.67
2024-06-13,Tips,64.48
2024-06-13,Amount collected,2701.50
2024-06-13,Unpaid balance,0.00
2024-06-14,Gross sales,2816.47
2024-06-14,Refunds,0.00
2024-06-14,Net sales,2816.47
2024-06-14,Overpayments,0.00
2024-06-14,Taxes expected,261.20
2024-06-14,Taxes collected,261.20
2024-06-14,Tips,33.30
2024-06-14,Amount collected,3110.97
2024-06-14,Unpaid balance,0.00
2024-06-15,Gross sales,3496.21
2024-06-15,Refunds,0.00
2024-06-15,Net sales,3496.21
2024-06-15,Overpayments,0.00
2024-06-15,Taxes expected,322.59
2024-06-15,Taxes collected,322.59
2024-06-15,Tips,46.37
2024-06-15,Amount collected,3865.17
2024-06-15,Unpaid balance,0.00
2024-06-16,Gross sales,2710.66
2024-06-16,Refunds,0.00
2024-06-16,Net sales,2710.66
2024-06-16,Overpayments,0.00
2024-06-16,Taxes expected,247.25
2024-06-16,Taxes collected,247.25
2024-06-16,Tips,29.89
2024-06-16,Amount collected,2987.80
2024-06-16,Unpaid balance,0.00
2024-06-17,Gross sales,2084.90
2024-06-17,Refunds,0.00
2024-06-17,Net sales,2084.90
2024-06-17,Overpayments,0.00
2024-06-17,Taxes expected,190.51
2024-06-17,Taxes collected,190.51
2024-06-17,Tips,41.18
2024-06-17,Amount collected,2316.59
2024-06-17,Unpaid balance,0.00
2024-06-18,Gross sales,1969.75
2024-06-18,Refunds,0.00
2024-06-18,Net sales,1969.75
2024-06-18,Overpayments,0.00
2024-06-18,Taxes expected,180.82
2024-06-18,Taxes collected,180.82
2024-06-18,Tips,49.66
2024-06-18,Amount collected,2200.23
2024-06-18,Unpaid balance,0.00
2024-06-19,Gross sales,2290.66
2024-06-19,Refunds,0.00
2024-06-19,Net sales,2290.66
2024-06-19,Overpayments,0.00
2024-06-19,Taxes expected,210.12
2024-06-19,Taxes collected,210.12
2024-06-19,Tips,54.58
2024-06-19,Amount collected,2555.36
2024-06-19,Unpaid balance,0.00
2024-06-20,Gross sales,2734.79
2024-06-20,Refunds,0.00
2024-06-20,Net sales,2734.79
2024-06-20,Overpayments,0.00
2024-06-20,Taxes expected,253.79
2024-06-20,Taxes collected,253.79
2024-06-20,Tips,54.00
2024-06-20,Amount collected,3042.58
2024-06-20,Unpaid balance,0.00
2024-06-21,Gross sales,3208.76
2024-06-21,Refunds,0.00
2024-06-21,Net sales,3208.76
2024-06-21,Overpayments,0.00
2024-06-21,Taxes expected,292.38
2024-06-21,Taxes collected,292.38
2024-06-21,Tips,56.30
2024-06-21,Amount collected,3557.44
2024-06-21,Unpaid balance,0.00
2024-06-22,Gross sales,3155.38
2024-06-22,Refunds,0.00
2024-06-22,Net sales,3155.38
2024-06-22,Overpayments,0.00
2024-06-22,Taxes expected,291.22
2024-06-22,Taxes collected,291.22
2024-06-22,Tips,42.95
2024-06-22,Amount collected,3489.55
2024-06-22,Unpaid balance,0.00
2024-06-23,Gross sales,2716.11
2024-06-23,Refunds,0.00
2024-06-23,Net sales,2716.11
2024-06-23,Overpayments,0.00
2024-06-23,Taxes expected,246.17
2024-06-23,Taxes collected,246.17
2024-06-23,Tips,27.54
2024-06-23,Amount collected,2989.82
2024-06-23,Unpaid balance,0.00
2024-06-24,Gross sales,1852.38
2024-06-24,Refunds,0.00
2024-06-24,Net sales,1852.38
2024-06-24,Overpayments,0.00
2024-06-24,Taxes expected,169.74
2024-06-24,Taxes collected,169.74
2024-06-24,Tips,44.86
2024-06-24,Amount collected,2066.98
2024-06-24,Unpaid balance,0.00
2024-06-25,Gross sales,2273.13
2024-06-25,Refunds,0.00
2024-06-25,Net sales,2273.13
2024-06-25,Overpayments,0.00
2024-06-25,Taxes expected,208.45
2024-06-25,Taxes collected,208.45
2024-06-25,Tips,49.94
2024-06-25,Amount collected,2531.52
2024-06-25,Unpaid balance,0.00
2024-06-26,Gross sales,2652.38
2024-06-26,Refunds,0.00
2024-06-26,Net sales,2652.38
2024-06-26,Overpayments,0.00
2024-06-26,Taxes expected,240.39
2024-06-26,Taxes collected,240.39
2024-06-26,Tips,26.57
2024-06-26,Amount collected,2919.34
2024-06-26,Unpaid balance,0.00
2024-06-27,Gross sales,2303.15
2024-06-27,Refunds,0.00
2024-06-27,Net sales,2303.15
2024-06-27,Overpayments,0.00
2024-06-27,Taxes expected,208.77
2024-06-27,Taxes collected,208.77
2024-06-27,Tips,45.41
2024-06-27,Amount collected,2557.33
2024-06-27,Unpaid balance,0.00
2024-06-28,Gross sales,3213.68
2024-06-28,Refunds,0.00
2024-06-28,Net sales,3213.68
